revenue,class,id,budget,starpower,certification,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass
101332962,7,tt1929263,12000000,5562679643,24,2014,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8,5
21819348,4,tt1931435,35000000,20075777667,6,2013,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5
19422261,3,tt1931533,15000000,27670919488,6,2012,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7
21587700,4,tt1935179,10000000,11278755499,11,2013,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4,7
5867686,2,tt1951181,16000000,12737431397,6,2013,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.6,6
847423452,9,tt1951264,130000000,99957137226,11,2013,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.6,7
126069509,7,tt1956620,40000000,24713871416,6,2014,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,5
362637473,9,tt1959490,125000000,33854730153,11,2014,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8,5
90247624,6,tt1979320,38000000,20987429519,6,2013,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.1,8
86175291,6,tt1980209,25000000,32863060569,6,2013,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.5,6
644571402,9,tt1981115,170000000,95694798208,11,2013,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7
115350426,7,tt1981677,17000000,36610113866,11,2012,9,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.2,7
2159041,2,tt1985019,4900000,7756104105,11,2013,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.3,6
3325038,2,tt1990314,2500000,11118457064,11,2012,8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7.1,7
15008161,3,tt2002718,12000000,25049751370,6,2013,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.6,5
268157400,9,tt2004420,18000000,38321782024,6,2014,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,6
53830415,5,tt2011159,13200000,14771535887,11,2014,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.6,5
773328629,9,tt2015381,170000000,132982365979,11,2014,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.1,8
2054941,2,tt2016940,25000000,5545719028,6,2013,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.1,6
347434178,9,tt2017020,105000000,57647332590,24,2013,7,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.4,5
6108720,2,tt2017038,9000000,2048486919,11,2013,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.9,6
146497771,7,tt2023587,15000000,4359304365,11,2013,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.2,6
173965010,8,tt2024432,35000000,30043587304,6,2013,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,5
222809600,9,tt2024469,50000000,29721691155,11,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.0,7
187000000,8,tt2024544,20000000,58759010097,6,2013,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.1,8
32935319,4,tt2042568,11000000,18707712959,6,2013,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.4,7
63372757,5,tt2053463,30000000,15345669134,6,2013,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7.1,7
376597,1,tt2063781,500000,11707073666,6,2012,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,6
233555708,9,tt2084970,14000000,39102115754,11,2014,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,8.1,8
444098,1,tt2084989,100000,13750604,3,2013,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.7,6
