revenue,class,id,budget,starpower,certification,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass,month1,month2
0.38061889730908766,6,tt0363163,-0.19633316136846032,-0.17637118432283883,-0.6153846153846153,0.13043478260868824,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,8.3,0.8,-1.0,-1.8369701987210297e-16
0.43514227462290406,7,tt0363547,0.10315453212964791,-0.04902416350731007,-0.6153846153846153,0.13043478260868824,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.3,0.7,1.0,6.123233995736766e-17
-0.7753628240135337,3,tt0363589,-1.4777485323308086,-1.8286752517198062,-0.6153846153846153,0.043478260869562746,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2,0.7,0.49999999999999994,-0.8660254037844387
0.3847390204467146,6,tt0363988,0.35560373241562004,0.1747394639545403,-0.23076923076923062,0.13043478260868824,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.6,0.7,1.0,6.123233995736766e-17
0.20245288590303168,6,tt0364045,0.4389688071312838,-0.06011704261677432,-0.6153846153846153,0.13043478260868824,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.2,0.6,1.0,6.123233995736766e-17
-0.5655491181113139,3,tt0364569,-1.4777485323308086,-3.4411091993504375,-0.6153846153846153,0.043478260869562746,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8.4,0.8,0.49999999999999994,0.8660254037844387
0.6922995267500466,8,tt0364725,-0.1349954905790919,0.8118675714099993,-1.0,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0.7,1.2246467991473532e-16,-1.0
0.23453522896657933,6,tt0364751,-0.17130011778338614,-0.476809089893454,-0.23076923076923062,0.13043478260868824,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.9,0.6,-0.8660254037844384,-0.5000000000000004
0.25274058225548357,6,tt0364970,0.7516914365604692,-0.363865840317961,-0.23076923076923062,0.4782608695652186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.6,0.6,-0.8660254037844384,-0.5000000000000004
-3.6480106868896263,1,tt0365675,-0.209568088873526,-1.5053873041716124,-0.23076923076923062,0.4782608695652186,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6.4,0.6,1.0,6.123233995736766e-17
0.3907946704191691,6,tt0365737,0.5135414077850017,0.8005750625127315,-0.6153846153846153,0.21739130434784215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.0,0.7,-0.5000000000000004,0.8660254037844384
-0.20323540495657205,4,tt0365748,-1.2741315093090795,0.4391236745886826,-0.6153846153846153,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.0,0.8,0.8660254037844388,-0.4999999999999998
-0.623372067197436,3,tt0365830,-0.06753636945247042,0.5556634425960224,-0.6153846153846153,0.30434782608696764,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.8,0.7,-0.5000000000000004,0.8660254037844384
0.09420156414563587,5,tt0365907,0.10315453212964791,-0.23307767675708324,-0.6153846153846153,1.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6.5,0.6,-1.0,-1.8369701987210297e-16
0.24462068606754514,6,tt0366174,-0.1349954905790919,-0.6865164446805022,-0.23076923076923062,0.13043478260868824,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4.6,0.5,-0.8660254037844384,-0.5000000000000004
1.1240842156943274,9,tt0366548,1.0041406413964884,0.9041704169774541,0.7692307692307694,0.30434782608696764,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0.6,-0.5000000000000004,0.8660254037844384
-0.3214847743515357,4,tt0366551,-0.7001672902414745,-0.04611906787564367,-1.0,0.13043478260868824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0.7,0.49999999999999994,-0.8660254037844387
-0.3865260655019298,4,tt0366627,0.12799164426519977,0.2670342964770108,-0.6153846153846153,0.21739130434784215,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,7.1,0.7,1.0,6.123233995736766e-17
-2.049306753476367,1,tt0366780,-1.2741315093090795,-0.653918062600194,0.7692307692307694,0.21739130434784215,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.9,0.7,0.49999999999999994,0.8660254037844387
